"Postcode_2006","ElectoralDistrict_2004"
2297,"Newcastle"
2298,"Wallsend"
2299,"Wallsend"
2300,"Newcastle"
2302,"Newcastle"
2303,"Newcastle"
2304,"Wallsend"
2305,"Wallsend"
2306,"Charlestown"
2307,"Wallsend"
2311,"Upper Hunter"
2312,"Myall Lakes"
2315,"Port Stephens"
2316,"Port Stephens"
2317,"Port Stephens"
2318,"Port Stephens"
2319,"Port Stephens"
2320,"Cessnock"
2321,"Cessnock"
2322,"Wallsend"
2323,"Cessnock"
2324,"Myall Lakes"
2325,"Cessnock"
2326,"Cessnock"
2327,"Cessnock"
2328,"Bathurst"
2329,"Orange"
2330,"Cessnock"
2331,"Cessnock"
2333,"Upper Hunter"
2334,"Cessnock"
2335,"Cessnock"
2336,"Upper Hunter"
2337,"Upper Hunter"
2338,"Upper Hunter"
2339,"Upper Hunter"
2340,"Upper Hunter"
2341,"Tamworth"
2342,"Upper Hunter"
2343,"Upper Hunter"
2344,"Upper Hunter"
2345,"Tamworth"
2346,"Tamworth"
2347,"Tamworth"
2350,"Northern Tablelands"
2352,"Tamworth"
2353,"Tamworth"
2354,"Upper Hunter"
2355,"Tamworth"
2356,"Barwon"
2357,"Barwon"
2358,"Tamworth"
2359,"Tamworth"
2360,"Northern Tablelands"
2361,"Northern Tablelands"
2365,"Northern Tablelands"
2369,"Northern Tablelands"
2370,"Northern Tablelands"
2371,"Northern Tablelands"
2372,"Northern Tablelands"
2379,"Upper Hunter"
2380,"Upper Hunter"
2381,"Upper Hunter"
2382,"Tamworth"
2386,"Barwon"
2387,"Barwon"
2388,"Barwon"
2390,"Tamworth"
2395,"Barwon"
2396,"Barwon"
2397,"Northern Tablelands"
2399,"Northern Tablelands"
2400,"Northern Tablelands"
2401,"Northern Tablelands"
2402,"Northern Tablelands"
2403,"Northern Tablelands"
2404,"Northern Tablelands"
2405,"Barwon"
2406,"Barwon"
2408,"Northern Tablelands"
2409,"Northern Tablelands"
2410,"Northern Tablelands"
2411,"Northern Tablelands"
2415,"Upper Hunter"
2420,"Myall Lakes"
2421,"Upper Hunter"
2422,"Myall Lakes"
2423,"Myall Lakes"
2424,"Myall Lakes"
2425,"Myall Lakes"
2426,"Port Macquarie"
2427,"Port Macquarie"
2428,"Myall Lakes"
2429,"Port Macquarie"
2430,"Port Macquarie"
2431,"Oxley"
2439,"Port Macquarie"
2440,"Port Macquarie"
2441,"Port Macquarie"
2443,"Port Macquarie"
2444,"Port Macquarie"
2445,"Port Macquarie"
2446,"Port Macquarie"
2447,"Oxley"
2448,"Oxley"
2449,"Oxley"
2450,"Northern Tablelands"
2452,"Coffs Harbour"
2453,"Northern Tablelands"
2454,"Northern Tablelands"
2455,"Coffs Harbour"
2456,"Clarence"
2460,"Northern Tablelands"
2462,"Clarence"
2463,"Clarence"
2464,"Clarence"
2465,"Clarence"
2466,"Clarence"
2469,"Northern Tablelands"
2470,"Clarence"
2471,"Clarence"
2472,"Clarence"
2473,"Clarence"
2474,"Lismore"
2475,"Lismore"
2476,"Lismore"
2477,"Clarence"
2478,"Ballina"
2479,"Ballina"
2480,"Clarence"
2481,"Ballina"
2482,"Ballina"
2483,"Tweed"
2484,"Tweed"
2485,"Tweed"
2486,"Tweed"
2487,"Tweed"
2488,"Tweed"
2489,"Tweed"
2490,"Tweed"
2500,"Keira"
2502,"Wollongong"
2505,"Wollongong"
2506,"Wollongong"
2508,"Heathcote"
2515,"Heathcote"
2516,"Heathcote"
2517,"Heathcote"
2518,"Keira"
2519,"Keira"
2525,"Keira"
2526,"Keira"
2527,"Kiama"
2528,"Wollongong"
2529,"Kiama"
2530,"Kiama"
2533,"Kiama"
2534,"Kiama"
2535,"Kiama"
2536,"South Coast"
2537,"Bega"
2538,"South Coast"
2539,"South Coast"
2540,"Kiama"
2541,"Kiama"
2545,"Bega"
2546,"Bega"
2548,"Bega"
2549,"Bega"
2550,"Bega"
2551,"Bega"
2555,"Liverpool"
2556,"Liverpool"
2557,"Liverpool"
2558,"Macquarie Fields"
2559,"Camden"
2560,"Menai"
2563,"Wollondilly"
2564,"Menai"
2565,"Menai"
2566,"Menai"
2567,"Camden"
2568,"Wollondilly"
2569,"Camden"
2570,"Mulgoa"
2571,"Keira"
2572,"Goulburn"
2573,"Wollondilly"
2574,"Goulburn"
2575,"Goulburn"
2576,"Kiama"
2577,"Kiama"
2578,"Goulburn"
2579,"Kiama"
2580,"Bathurst"
2581,"Goulburn"
2582,"Burrinjuck"
2583,"Bathurst"
2584,"Burrinjuck"
2585,"Burrinjuck"
2586,"Burrinjuck"
2587,"Burrinjuck"
2588,"Burrinjuck"
2590,"Burrinjuck"
2594,"Burrinjuck"
2618,"Burrinjuck"
2619,"Monaro"
2620,"Burrinjuck"
2621,"Goulburn"
2622,"South Coast"
2623,"Monaro"
2624,"Albury"
2625,"Monaro"
2626,"Monaro"
2627,"Monaro"
2628,"Monaro"
2629,"Albury"
2630,"Albury"
2631,"Monaro"
2632,"Bega"
2633,"Monaro"
2640,"Albury"
2641,"Albury"
2642,"Murray - Darling"
2643,"Albury"
2644,"Albury"
2645,"Murray - Darling"
2646,"Murray - Darling"
2647,"Murray - Darling"
2648,"Murray - Darling"
2650,"Albury"
2651,"Wagga Wagga"
2652,"Murray - Darling"
2653,"Albury"
2655,"Albury"
2656,"Murray - Darling"
2658,"Albury"
2659,"Albury"
2660,"Albury"
2663,"Murrumbidgee"
2665,"Murrumbidgee"
2666,"Burrinjuck"
2668,"Burrinjuck"
2669,"Murray - Darling"
2671,"Burrinjuck"
2672,"Murray - Darling"
2675,"Murray - Darling"
2680,"Murray - Darling"
2681,"Murrumbidgee"
2700,"Murray - Darling"
2701,"Wagga Wagga"
2702,"Wagga Wagga"
2703,"Murrumbidgee"
2705,"Murrumbidgee"
2706,"Murrumbidgee"
2707,"Murray - Darling"
2710,"Murray - Darling"
2711,"Murray - Darling"
2712,"Murray - Darling"
2713,"Murray - Darling"
2714,"Murray - Darling"
2715,"Murray - Darling"
2716,"Murray - Darling"
2717,"Murray - Darling"
2720,"Albury"
2721,"Burrinjuck"
2722,"Burrinjuck"
2725,"Burrinjuck"
2726,"Burrinjuck"
2727,"Burrinjuck"
2729,"Burrinjuck"
2730,"Albury"
2731,"Murray - Darling"
2732,"Murray - Darling"
2733,"Murray - Darling"
2734,"Murray - Darling"
2735,"Murray - Darling"
2736,"Murray - Darling"
2737,"Murray - Darling"
2738,"Murray - Darling"
2739,"Murray - Darling"
2745,"Mulgoa"
2747,"Londonderry"
2748,"Mulgoa"
2749,"Londonderry"
2750,"Londonderry"
2752,"Wollondilly"
2753,"Londonderry"
2754,"Londonderry"
2755,"Londonderry"
2756,"Londonderry"
2757,"Londonderry"
2758,"Londonderry"
2759,"Mulgoa"
2760,"Londonderry"
2761,"Blacktown"
2762,"Mount Druitt"
2763,"Blacktown"
2765,"Londonderry"
2766,"Blacktown"
2767,"Blacktown"
2768,"Toongabbie"
2770,"Londonderry"
2773,"Penrith"
2774,"Penrith"
2775,"Hawkesbury"
2776,"Londonderry"
2777,"Londonderry"
2778,"Blue Mountains"
2779,"Blue Mountains"
2780,"Hawkesbury"
2782,"Blue Mountains"
2783,"Blue Mountains"
2784,"Blue Mountains"
2785,"Mulgoa"
2786,"Hawkesbury"
2787,"Bathurst"
2790,"Hawkesbury"
2791,"Bathurst"
2792,"Bathurst"
2793,"Bathurst"
2794,"Burrinjuck"
2795,"Orange"
2797,"Bathurst"
2798,"Orange"
2799,"Orange"
2800,"Orange"
2803,"Burrinjuck"
2804,"Orange"
2805,"Burrinjuck"
2806,"Dubbo"
2807,"Burrinjuck"
2808,"Burrinjuck"
2809,"Burrinjuck"
2810,"Burrinjuck"
2820,"Orange"
2821,"Barwon"
2823,"Barwon"
2824,"Barwon"
2825,"Barwon"
2827,"Barwon"
2828,"Barwon"
2829,"Barwon"
2830,"Orange"
2831,"Barwon"
2832,"Barwon"
2833,"Barwon"
2834,"Barwon"
2835,"Murray - Darling"
2836,"Murray - Darling"
2839,"Barwon"
2840,"Murray - Darling"
2842,"Barwon"
2843,"Upper Hunter"
2844,"Orange"
2845,"Bathurst"
2846,"Bathurst"
2847,"Bathurst"
2848,"Orange"
2849,"Bathurst"
2850,"Hawkesbury"
2852,"Orange"
2864,"Orange"
2865,"Orange"
2866,"Orange"
2867,"Orange"
2868,"Orange"
2869,"Dubbo"
2870,"Dubbo"
2871,"Burrinjuck"
2873,"Barwon"
2874,"Barwon"
2875,"Barwon"
2876,"Dubbo"
2877,"Murray - Darling"
2878,"Murray - Darling"
2879,"Murray - Darling"
2880,"Murray - Darling"
2898,
